rank,nome,nota
798,"Heroes of Land, Air & Sea",7.61
799,FUSE,7.01
800,Panamax,7.30
801,Ricochet Robots,7.02
802,King of New York,6.90
803,Paris: La Cité de la Lumière,7.34
804,Dice Hospital,7.14
805,1989: Dawn of Freedom,7.78
806,The Pursuit of Happiness,7.18
807,Lacrimosa,7.82
808,Dungeons & Dragons: The Legend of Drizzt Board Game,7.22
809,Among the Stars,7.04
810,Unfair,7.33
811,Tang Garden,7.40
812,Gentes,7.42
813,Squad Leader,7.54
814,Brian Boru: High King of Ireland,7.56
815,Jambo,7.00
816,Cerebria: The Inside World,7.78
817,Red7,6.88
818,7 Wonders: Architects,7.05
819,Outlive,7.31
820,Fugitive,7.17
821,Lords of Xidit,7.09
822,Not Alone,6.98
823,Incan Gold,6.83
824,Tribune: Primus Inter Pares,7.22
825,Star Trek: Fleet Captains,7.48
826,Messina 1347,7.65
827,Yedo,7.36
828,Tammany Hall,7.28
829,One Deck Dungeon,6.97
830,Celestia,6.94
831,Dale of Merchants,7.18
832,Vasco da Gama,7.22
833,Washington's War,7.62
834,Reef Encounter,7.14
835,Wizard,6.95
836,XCOM: The Board Game,7.01
837,Combat Commander: Pacific,8.12
838,Twilight Inscription,7.60
839,Hannibal & Hamilcar,8.31
840,Disney Villainous: Perfectly Wretched,7.68
841,Pandemic: Rising Tide,7.57
842,Blue Lagoon,7.20
843,"13 Days: The Cuban Missile Crisis, 1962",7.23
844,Distilled,8.02
845,Tumblin' Dice,7.21
846,Scoville,7.13
847,ZÈRTZ,7.26
848,Star Wars: The Card Game,7.17
849,Letter Jam,7.22
850,Maquis,7.45
851,Babylonia,7.67
852,Santiago,7.13
853,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
854,Raccoon Tycoon,7.30
855,SpaceCorp: 2025-2300AD,7.69
856,Dominant Species: Marine,8.02
857,Friedrich,7.56
858,Rurik: Dawn of Kiev,7.79
859,Morels,6.98
860,Detective Club,7.38
861,Napoleon's Triumph,8.00
862,Merchants Cove,7.54
863,Summoner Wars: Alliances Master Set,8.05
864,Last Bastion,7.51
865,Spyrium,7.04
866,Hyperborea,7.18
867,A War of Whispers,7.36
868,Carcassonne: The City,7.20
869,Forbidden Island,6.77
870,The Lost Expedition,7.06
871,Circadians: First Light,7.60
872,Battle for Rokugan,7.42
873,Rhino Hero,6.92
874,Spyfall,6.80
875,Tajemnicze Domostwo,7.12
876,Parade,6.99
877,Union Pacific,7.20
878,Witchstone,7.60
879,Container,7.15
880,Massive Darkness 2: Hellscape,8.10
881,Marvel Dice Masters: Avengers vs. X-Men,7.11
882,Clinic: Deluxe Edition,7.65
